YEAR,Day of the Year,Relative Huminidity,Precipitation (mm/day),Temperature at 2 Meters Maximum ©, Temperature at 2 Meters Minimum ©,Temperature at 2 Meters Range ©
1982,175,88.87,2.28,28.65,26.38,2.27
1982,176,90.75,6.89,28.51,26.31,2.2
1982,177,88.44,5.29,30.06,26.04,4.02
1982,178,89.69,4.37,29.76,26.2,3.56
1982,179,86.47,2.12,30.38,25.93,4.45
1982,180,85.39,4.47,29.91,24.99,4.92
1982,181,86.06,0.61,31.29,24.89,6.4
1982,182,87.86,4.27,30.16,25.67,4.49
1982,183,87.62,4.67,30.41,26.05,4.36
1982,184,89.2,21.33,30.8,26.07,4.73
1982,185,88.34,23.54,31.72,25.36,6.36
1982,186,85.73,0.1,31.39,25.9,5.49
1982,187,86.75,0.16,30.86,25.66,5.2
1982,188,86.6,0.24,31.09,25.39,5.7
1982,189,86.52,0.16,31.52,26.03,5.49
1982,190,84.37,0.06,30.64,26.32,4.32
1982,191,88.35,1.35,30.19,26.01,4.18
1982,192,87.26,6.06,30.24,26.01,4.23
1982,193,86.22,3.72,30.31,25.94,4.37
1982,194,87.32,4.01,30.03,25.99,4.04
1982,195,85.25,4.21,31.2,25.96,5.24
1982,196,86.72,3.79,30.84,26.01,4.83
1982,197,84.28,3.85,32.35,26.15,6.2
1982,198,81.26,4.93,33.08,26.24,6.84
1982,199,81.94,0.49,32.03,26.48,5.55
1982,200,84.96,0.58,30.71,26.47,4.24
1982,201,84.1,1.42,31.81,25.94,5.87
1982,202,85.23,1.76,30.72,25.95,4.77
1982,203,88.02,3.3,29.24,26.4,2.84
1982,204,85.32,3.93,30.71,25.99,4.72
1982,205,83.23,4.66,30.34,26.04,4.3
1982,206,85.28,14.43,31.62,25.65,5.97
1982,207,89.52,38.65,30.46,26.71,3.75
1982,208,87.19,29.47,30.87,26.62,4.25
1982,209,86.63,4.26,30.89,26.35,4.54
1982,210,87.81,10.83,29.45,26.49,2.96
1982,211,90.56,9.8,29.17,26.4,2.77
1982,212,87.11,13.34,28.77,26.02,2.75
1982,213,91.35,11.26,29.18,25.64,3.54
1982,214,88.81,76.58,30.38,26.42,3.96
1982,215,87.3,43.46,30.21,26.29,3.92
1982,216,86.76,12.42,30.08,26.13,3.95
1982,217,87.93,9.59,30.28,26.36,3.92
1982,218,91.3,0.27,29.04,26.69,2.35
1982,219,87.86,16.86,29.55,26.3,3.25
1982,220,92.19,30.11,28.35,26.56,1.79
1982,221,90.09,19.8,28.56,26.07,2.49
1982,222,86.51,16.63,30.13,25.51,4.62
1982,223,86.53,0.25,31.84,25.68,6.16
1982,224,84.19,1.1,31.45,25.57,5.88
1982,225,87.37,2.66,30.21,25.8,4.41
1982,226,89.76,23.68,29.65,26.1,3.55
1982,227,88.48,1.54,30.54,25.63,4.91
1982,228,88.9,2.81,31.27,25.67,5.6
1982,229,86.71,3.21,31.18,25.69,5.49
1982,230,86.62,0.11,30.92,25.19,5.73
1982,231,88.65,0.61,30,26.65,3.35
1982,232,89.7,1.12,30.38,25.9,4.48
1982,233,87.92,0.17,31.1,26.02,5.08
1982,234,90.66,1.31,29.09,25.97,3.12
1982,235,92.14,3.48,28.18,26.46,1.72
1982,236,88.94,47.4,30.34,26.13,4.21
1982,237,87.78,42.68,29.89,26.05,3.84
1982,238,88.02,18.45,30.68,25.38,5.3
1982,239,86.75,0.05,31.13,25.67,5.46
1982,240,87.54,0.27,29.83,25.53,4.3
1982,241,88.37,2.45,29.84,25.06,4.78
1982,242,88.63,10.74,29.73,25.18,4.55
1982,243,86.35,29.92,30.1,25.79,4.31
1982,244,86.47,0.21,30.52,25.09,5.43
1982,245,84.62,0.02,30.99,25.71,5.28
1982,246,86,1.11,30.24,25.83,4.41
1982,247,82.71,1.68,32.2,25.66,6.54
1982,248,84.43,29.35,30.84,25.95,4.89
1982,249,84.24,41.22,31.62,26.13,5.49
1982,250,85.36,0.17,31.01,26.33,4.68
1982,251,81.48,0.09,33.21,27.04,6.17
1982,252,88.8,0.02,28.43,25.16,3.27
1982,253,85.23,0.16,30.3,24.06,6.24
1982,254,86.78,0.48,29.82,24.99,4.83
1982,255,85.5,1.56,30.32,25.31,5.01
1982,256,84.95,1.4,30.11,25.76,4.35
1982,257,84.95,2.11,30.18,25.77,4.41
1982,258,88.03,31.87,30.03,26.09,3.94
1982,259,86.83,21.65,30.14,25.75,4.39
1982,260,82.42,17.7,31.04,25.8,5.24
1982,261,81.79,0.17,30.73,25.28,5.45
1982,262,82.82,0,30.35,25.28,5.07
1982,263,81.96,0.05,30.36,25.29,5.07
1982,264,80.07,0.09,30.47,25.24,5.23
1982,265,81.41,0.1,30.37,25.47,4.9
1982,266,71.47,0.04,31.46,25.83,5.63
1982,267,77.07,0.29,31.37,23.56,7.81
1982,268,79.49,0.1,28.66,26.17,2.49
1982,269,78.44,0.15,30.23,26.13,4.1
1982,270,87.36,1.1,28,24.93,3.07
1982,271,91.64,5.74,27.21,24.33,2.88
1982,272,84.05,20.96,29.72,25,4.72
1982,273,79.47,13.82,29.78,25.13,4.65
1982,274,80.86,0.17,28.29,24.03,4.26
1982,275,77.27,0.23,29.7,23.66,6.04
1982,276,78.63,1.73,30.17,24.8,5.37
1982,277,82.52,0.15,29.19,25.03,4.16
1982,278,80.89,0.6,28.23,24.82,3.41
1982,279,74.83,0.25,30.62,24.82,5.8
1982,280,76.87,0.03,29.85,24.86,4.99
1982,281,72.39,0,30.23,22.95,7.28
1982,282,66.49,0,30.96,24.34,6.62
1982,283,71.43,0.11,30.6,22.98,7.62
1982,284,76.66,0.05,30.82,22.49,8.33
1982,285,74.92,0.11,31.02,23.23,7.79
1982,286,68.14,0,31.01,24.88,6.13
1982,287,70.22,0,31.29,23.03,8.26
1982,288,75.61,0,29.53,24.93,4.6
1982,289,73.81,0,32.14,23.32,8.82
1982,290,70.85,0,31.28,27.14,4.14
1982,291,74.77,0,31.56,25.35,6.21
1982,292,72.67,0,32.06,24.6,7.46
1982,293,72.13,0,31.69,23.75,7.94
1982,294,74.41,0,31.59,23.98,7.61
1982,295,74.1,0,30.79,25.21,5.58
1982,296,80.21,0.06,29.67,25.62,4.05
1982,297,79.04,1.12,28.56,25.05,3.51
1982,298,70.57,1.64,29.56,24.49,5.07
1982,299,61.97,0,29.41,22.47,6.94
1982,300,70.73,0,29.88,19.97,9.91
1982,301,69.44,0,30.04,19.98,10.06
1982,302,69.45,0,30.95,21.21,9.74
1982,303,69.1,0,30.09,22.42,7.67
1982,304,72.4,0,30.65,20.82,9.83
1982,305,68.83,0,30.92,22.06,8.86
1982,306,60.82,0,30.6,23.83,6.77
1982,307,63.15,0,30.69,24.35,6.34
1982,308,71.73,0,29.71,21.28,8.43
1982,309,59.44,0,28.93,21.95,6.98
1982,310,57.83,0,29.38,19.72,9.66
1982,311,64.19,0,28.99,19.29,9.7
1982,312,69.1,0.08,28.73,19.89,8.84
1982,313,66.56,0,29.29,20.57,8.72
1982,314,68.44,0.08,27.69,22.86,4.83
1982,315,84.45,2.75,24.78,21.72,3.06
1982,316,83.47,9.22,27.87,22.39,5.48
1982,317,77.95,4.61,27.33,21.13,6.2
1982,318,70.87,0,26.59,17.83,8.76
1982,319,70.26,0,27.12,18.13,8.99
1982,320,71.8,0,28.18,18.51,9.67
1982,321,74.46,0,28.47,19.03,9.44
1982,322,73.34,0,27.98,17.42,10.56
1982,323,70.74,0,28.13,19.46,8.67
1982,324,69.62,0,28.11,19.23,8.88
1982,325,64.08,0,26.99,19.64,7.35
1982,326,62.37,0,28.2,20.08,8.12
1982,327,59.04,0,27.67,20.87,6.8
1982,328,60.73,0,27.55,19.21,8.34
1982,329,67.35,0,27.34,17.65,9.69
1982,330,60.79,0,26.12,15.29,10.83
1982,331,55.93,0,26.37,15.86,10.51
1982,332,61.47,0,25.52,13.72,11.8
1982,333,61.21,0,24.59,12.94,11.65
1982,334,62.66,0,24.54,13.07,11.47
1982,335,63.19,0,24.7,13.63,11.07
1982,336,66.97,0,24.68,13.75,10.93
1982,337,61.21,0,24.69,13.63,11.06
1982,338,57.62,0,24.97,13.53,11.44
1982,339,57.15,0,25.96,14.2,11.76
1982,340,51.66,0,26.32,15.92,10.4
1982,341,53.47,0,25.18,13.76,11.42
1982,342,55.78,0,25.04,12.75,12.29
1982,343,54.53,0,25.45,14.37,11.08
1982,344,58.99,0,24.91,14.16,10.75
1982,345,57.32,0,25.86,13.82,12.04
1982,346,52.49,0,25.85,14.56,11.29
1982,347,54.19,0,25.6,16.42,9.18
1982,348,53.32,0,25.62,16.36,9.26
1982,349,58.29,0,25.62,15.92,9.7
1982,350,59.46,0,26.73,15,11.73
1982,351,55.14,0,27.95,15.76,12.19
1982,352,54.25,0,26.21,13.75,12.46
1982,353,49.73,0,26.27,15.01,11.26
1982,354,52.86,0,25.73,14.24,11.49
1982,355,55.84,0,25.29,14.04,11.25
1982,356,57.98,0,25.43,14.73,10.7
1982,357,58.19,0,25.73,14.13,11.6
1982,358,52.91,0,26.5,14.25,12.25
1982,359,55.28,0,27.35,15.79,11.56
1982,360,62.55,0.12,26.69,14.05,12.64
1982,361,55.47,0,26.05,14.41,11.64
1982,362,52.53,0,25.83,16.22,9.61
1982,363,58.45,0,24.92,17,7.92
1982,364,57.1,0,25,16.63,8.37
1982,365,58.31,0.01,23.91,15.78,8.13
1983,1,52.99,0.03,23.64,11.24,12.4
1983,2,50.96,0,24.99,12.19,12.8
1983,3,52.45,0,24.89,12,12.89
1983,4,52.46,0.07,24.97,11.28,13.69
1983,5,48.19,0,24.67,11.22,13.45
1983,6,47.44,0,23.9,12.73,11.17
1983,7,47.78,0,24.02,12.23,11.79
1983,8,47.1,0,24.01,12.28,11.73
1983,9,52.04,0,25.21,12.26,12.95
1983,10,68.04,0.48,25.47,14.46,11.01
1983,11,67.53,0.79,26,15.41,10.59
1983,12,51.66,0.02,24.54,12.21,12.33
1983,13,47.31,0,26.13,12.06,14.07
1983,14,48.6,0,26.58,12.09,14.49
1983,15,44.29,0,25.72,12.09,13.63
1983,16,43.76,0,25.82,11.02,14.8
1983,17,45.53,0,28.22,13.11,15.11
1983,18,51.05,0,26.33,15.85,10.48
1983,19,49.71,0,25.96,13.7,12.26
1983,20,46.3,0,26.78,12.71,14.07
1983,21,44.87,0,27.49,12.78,14.71
1983,22,47.78,0,27.35,12.64,14.71
1983,23,44.77,0,26.56,15.51,11.05
1983,24,49.61,0,26.13,15.5,10.63
